pricingID;name;regionCategory;date;price;timestamp;createdAt;updatedAt;grouping;providerID
70;t4g.xlarge-general-purpose;AWS-eu-central-1;2023-09-07 02:00:00+02;0.0628;2023-10-30 19:55:09.69+01;2023-10-30 19:55:09.69+01;2023-10-30 19:55:09.69+01;GP1;AWS
71;c6a.xlarge-compute-optimized;AWS-eu-central-1;2023-09-07 02:00:00+02;0.1067;2023-10-30 19:55:09.941+01;2023-10-30 19:55:09.941+01;2023-10-30 19:55:09.941+01;CO1;AWS
72;t4g.xlarge-general-purpose;AWS-ap-south-1;2023-09-07 02:00:00+02;0.0316;2023-10-30 19:55:10.703+01;2023-10-30 19:55:10.703+01;2023-10-30 19:55:10.703+01;GP1;AWS
73;c6a.xlarge-compute-optimized;AWS-ap-south-1;2023-09-07 02:00:00+02;0.0735;2023-10-30 19:55:10.891+01;2023-10-30 19:55:10.891+01;2023-10-30 19:55:10.891+01;CO1;AWS
74;c6a.xlarge-compute-optimized;AWS-us-east-1;2023-09-07 02:00:00+02;0.1255;2023-10-30 19:55:11.473+01;2023-10-30 19:55:11.473+01;2023-10-30 19:55:11.473+01;CO1;AWS
75;t4g.xlarge-general-purpose;AWS-us-east-1;2023-09-07 02:00:00+02;0.1344;2023-10-30 19:55:11.584+01;2023-10-30 19:55:11.584+01;2023-10-30 19:55:11.584+01;GP1;AWS
76;t4g.xlarge-general-purpose;AWS-us-west-2;2023-09-07 02:00:00+02;0.1201;2023-10-30 19:55:12.058+01;2023-10-30 19:55:12.058+01;2023-10-30 19:55:12.058+01;GP1;AWS
77;c6a.xlarge-compute-optimized;AWS-us-west-2;2023-09-07 02:00:00+02;0.1227;2023-10-30 19:55:12.066+01;2023-10-30 19:55:12.066+01;2023-10-30 19:55:12.066+01;CO1;AWS
78;t4g.xlarge-general-purpose;AWS-us-west-1;2023-09-07 02:00:00+02;0.0540;2023-10-31 17:36:17.766+01;2023-10-31 17:36:17.766+01;2023-10-31 17:36:17.766+01;GP1;AWS
79;c6a.xlarge-compute-optimized;AWS-us-west-1;2023-09-07 02:00:00+02;0.0761;2023-10-31 17:36:18.416+01;2023-10-31 17:36:18.416+01;2023-10-31 17:36:18.416+01;CO1;AWS
80;t4g.xlarge-general-purpose;AWS-eu-central-1;2023-09-08 02:00:00+02;0.0614;2023-10-30 19:55:09.689+01;2023-10-30 19:55:09.689+01;2023-10-30 19:55:09.689+01;GP1;AWS
81;c6a.xlarge-compute-optimized;AWS-eu-central-1;2023-09-08 02:00:00+02;0.1068;2023-10-30 19:55:09.94+01;2023-10-30 19:55:09.94+01;2023-10-30 19:55:09.94+01;CO1;AWS
82;t4g.xlarge-general-purpose;AWS-ap-south-1;2023-09-08 02:00:00+02;0.0301;2023-10-30 19:55:10.702+01;2023-10-30 19:55:10.703+01;2023-10-30 19:55:10.703+01;GP1;AWS
83;c6a.xlarge-compute-optimized;AWS-ap-south-1;2023-09-08 02:00:00+02;0.0736;2023-10-30 19:55:10.89+01;2023-10-30 19:55:10.89+01;2023-10-30 19:55:10.89+01;CO1;AWS
84;c6a.xlarge-compute-optimized;AWS-us-east-1;2023-09-08 02:00:00+02;0.1260;2023-10-30 19:55:11.471+01;2023-10-30 19:55:11.471+01;2023-10-30 19:55:11.471+01;CO1;AWS
85;t4g.xlarge-general-purpose;AWS-us-east-1;2023-09-08 02:00:00+02;0.1340;2023-10-30 19:55:11.583+01;2023-10-30 19:55:11.583+01;2023-10-30 19:55:11.583+01;GP1;AWS
86;t4g.xlarge-general-purpose;AWS-us-west-2;2023-09-08 02:00:00+02;0.1203;2023-10-30 19:55:12.057+01;2023-10-30 19:55:12.057+01;2023-10-30 19:55:12.057+01;GP1;AWS
87;c6a.xlarge-compute-optimized;AWS-us-west-2;2023-09-08 02:00:00+02;0.1227;2023-10-30 19:55:12.065+01;2023-10-30 19:55:12.065+01;2023-10-30 19:55:12.065+01;CO1;AWS
88;t4g.xlarge-general-purpose;AWS-us-west-1;2023-09-08 02:00:00+02;0.0535;2023-10-31 17:36:17.765+01;2023-10-31 17:36:17.765+01;2023-10-31 17:36:17.765+01;GP1;AWS
89;c6a.xlarge-compute-optimized;AWS-us-west-1;2023-09-08 02:00:00+02;0.0787;2023-10-31 17:36:18.415+01;2023-10-31 17:36:18.415+01;2023-10-31 17:36:18.415+01;CO1;AWS
90;t4g.xlarge-general-purpose;AWS-eu-central-1;2023-09-09 02:00:00+02;0.0617;2023-10-30 19:55:09.687+01;2023-10-30 19:55:09.687+01;2023-10-30 19:55:09.687+01;GP1;AWS
91;c6a.xlarge-compute-optimized;AWS-eu-central-1;2023-09-09 02:00:00+02;0.1065;2023-10-30 19:55:09.939+01;2023-10-30 19:55:09.939+01;2023-10-30 19:55:09.939+01;CO1;AWS
92;t4g.xlarge-general-purpose;AWS-ap-south-1;2023-09-09 02:00:00+02;0.0313;2023-10-30 19:55:10.702+01;2023-10-30 19:55:10.702+01;2023-10-30 19:55:10.702+01;GP1;AWS
93;c6a.xlarge-compute-optimized;AWS-ap-south-1;2023-09-09 02:00:00+02;0.0741;2023-10-30 19:55:10.89+01;2023-10-30 19:55:10.89+01;2023-10-30 19:55:10.89+01;CO1;AWS
94;c6a.xlarge-compute-optimized;AWS-us-east-1;2023-09-09 02:00:00+02;0.1257;2023-10-30 19:55:11.47+01;2023-10-30 19:55:11.47+01;2023-10-30 19:55:11.47+01;CO1;AWS
95;t4g.xlarge-general-purpose;AWS-us-east-1;2023-09-09 02:00:00+02;0.1331;2023-10-30 19:55:11.582+01;2023-10-30 19:55:11.582+01;2023-10-30 19:55:11.582+01;GP1;AWS
